rfp_group,rfp_name,curryr_rev,prevyr_rev,growth,volume_tier,growth_tier,rebate_rate,rebate,,,total_rev,rebate,net_rev,
4,RFP_NAME_A,1845.44,4355.72,-0.576318037,,,0,0,,,67236570.54,940783.4005,66295787.14,
21,RFP_NAME_A,8174.14,6438.65,0.269542528,,G3,0,0,,,,,,
30,RFP_NAME_A,1500.82,2715.8,-0.447374623,,,0,0,,,,,,
42,RFP_NAME_A,4771.82,6470.37,-0.262512036,,,0,0,,,Volume Bin,0.08,0.15,0.2
43,RFP_NAME_A,50031.24,57407.48,-0.128489179,V4,,0,0,,,9000-15000,0.01,0.03,0.05
44,RFP_NAME_A,0,0,,,,0,0,,,15000-22500,0.04,0.05,0.07
64,RFP_NAME_A,0,682.6,-1,,,0,0,,,22500-44999,0.03,0.05,0.07
80,RFP_NAME_A,6057.19,5372.33,0.127479138,,G1,0,0,,,45000+,0.05,0.07,0.11
90,RFP_NAME_A,13803.11,14652.05,-0.057940015,V1,,0,0,,,45000+,0.05,0.07,0.11
98,RFP_NAME_A,2457.21,2135.52,0.150637784,,G2,0,0,,,,,,
102,RFP_NAME_A,7270.87,12658.59,-0.425617703,,,0,0,,,,,,
105,RFP_NAME_A,4610.54,3984.31,0.157174015,,G2,0,0,,,,,,
126,RFP_NAME_A,0,0,,,,0,0,,,,,,
134,RFP_NAME_A,837.12,2317.64,-0.638804991,,,0,0,,,,,,
152,RFP_NAME_A,0,0,,,,0,0,,,,,,
155,RFP_NAME_A,1975.64,2884.94,-0.315188531,,,0,0,,,,,,
202,RFP_NAME_A,1989.18,291.04,5.834730621,,G3,0,0,,,,,,
214,RFP_NAME_A,286.84,2497.53,-0.885150529,,,0,0,,,,,,
216,RFP_NAME_A,192.4,0,inf,,,0,0,,,,,,
223,RFP_NAME_A,4037.08,1868.96,1.160067631,,G3,0,0,,,,,,
228,RFP_NAME_A,2820.19,3481.14,-0.189865963,,,0,0,,,,,,
230,RFP_NAME_A,0,0,,,,0,0,,,,,,
232,RFP_NAME_A,0,0,,,,0,0,,,,,,
233,RFP_NAME_A,5123.49,6086.53,-0.158224801,,,0,0,,,,,,
244,RFP_NAME_A,1662.25,1323.58,0.25587422,,G3,0,0,,,,,,
279,RFP_NAME_A,8278.41,12338.44,-0.329055375,,,0,0,,,,,,
288,RFP_NAME_A,5627.36,8602.44,-0.345841412,,,0,0,,,,,,
307,RFP_NAME_A,319.06,582.01,-0.451796361,,,0,0,,,,,,
311,RFP_NAME_A,8132.83,7351.23,0.106322343,,G1,0,0,,,,,,
316,RFP_NAME_A,0,0,,,,0,0,,,,,,
319,RFP_NAME_A,4927.44,3018.37,0.632483758,,G3,0,0,,,,,,
329,RFP_NAME_A,1958.34,2210.58,-0.1141058,,,0,0,,,,,,
332,RFP_NAME_A,0,430.26,-1,,,0,0,,,,,,
336,RFP_NAME_A,0,0,,,,0,0,,,,,,
353,RFP_NAME_A,641.37,1080.81,-0.406583951,,,0,0,,,,,,
371,RFP_NAME_A,8544.66,6967.6,0.226341925,,G3,0,0,,,,,,
378,RFP_NAME_A,1495.89,1974,-0.242203647,,,0,0,,,,,,
384,RFP_NAME_A,13406.44,14255,-0.059527183,V1,,0,0,,,,,,
385,RFP_NAME_A,7855.82,8037.19,-0.022566345,,,0,0,,,,,,
391,RFP_NAME_A,1597.96,2144.26,-0.254773208,,,0,0,,,,,,
392,RFP_NAME_A,9286.74,5520.84,0.682124459,V1,G3,0.05,464.337,,,,,,
395,RFP_NAME_A,0,0,,,,0,0,,,,,,
398,RFP_NAME_A,0,0,,,,0,0,,,,,,
399,RFP_NAME_A,586.81,775.47,-0.243284718,,,0,0,,,,,,
408,RFP_NAME_A,0,0,,,,0,0,,,,,,
409,RFP_NAME_A,6550.45,5496.25,0.191803502,,G2,0,0,,,,,,
418,RFP_NAME_A,1718.82,1156.39,0.486367056,,G3,0,0,,,,,,
420,RFP_NAME_A,899.29,2478.89,-0.637220692,,,0,0,,,,,,
425,RFP_NAME_A,4500.45,4534.18,-0.007439052,,,0,0,,,,,,
430,RFP_NAME_A,4712.45,7381.92,-0.361622721,,,0,0,,,,,,
431,RFP_NAME_A,0,123.81,-1,,,0,0,,,,,,
436,RFP_NAME_A,2169.47,2729.14,-0.205071927,,,0,0,,,,,,
437,RFP_NAME_A,819.1,-306.36,-3.673651913,,,0,0,,,,,,
460,RFP_NAME_A,1462.39,3071.81,-0.523932144,,,0,0,,,,,,
481,RFP_NAME_A,4624.92,4634.57,-0.002082178,,,0,0,,,,,,
494,RFP_NAME_A,1760.66,1435.88,0.226188818,,G3,0,0,,,,,,
504,RFP_NAME_A,0,0,,,,0,0,,,,,,
506,RFP_NAME_A,17432.72,19070.65,-0.085887476,V2,,0,0,,,,,,
522,RFP_NAME_A,0,8678.95,-1,,,0,0,,,,,,
537,RFP_NAME_A,991.73,6793.35,-0.854014588,,,0,0,,,,,,
615,RFP_NAME_A,19916.69,17124.46,0.163055069,V2,G2,0.05,995.8345,,,,,,
