rfp_name,rfp_group,curryr_rev,prevyr_rev
RFP_NAME_A,4,1845.44,4355.72
RFP_NAME_A,21,8174.14,6438.65
RFP_NAME_A,30,1500.82,2715.8
RFP_NAME_A,42,4771.82,6470.37
RFP_NAME_A,43,50031.24,57407.48
RFP_NAME_A,44,0,0
RFP_NAME_A,64,0,682.6
RFP_NAME_A,80,6057.19,5372.33
RFP_NAME_A,90,13803.11,14652.05
RFP_NAME_A,98,2457.21,2135.52
RFP_NAME_A,102,7270.87,12658.59
RFP_NAME_A,105,4610.54,3984.31
RFP_NAME_A,126,0,0
RFP_NAME_A,134,837.12,2317.64
RFP_NAME_A,152,0,0
RFP_NAME_A,155,1975.64,2884.94
RFP_NAME_A,202,1989.18,291.04
RFP_NAME_A,214,286.84,2497.53
RFP_NAME_A,216,192.4,0
RFP_NAME_A,223,4037.08,1868.96
RFP_NAME_A,228,2820.19,3481.14
RFP_NAME_A,230,0,0
RFP_NAME_A,232,0,0
RFP_NAME_A,233,5123.49,6086.53
RFP_NAME_A,244,1662.25,1323.58
RFP_NAME_A,279,8278.41,12338.44
RFP_NAME_A,288,5627.36,8602.44
RFP_NAME_A,307,319.06,582.01
RFP_NAME_A,311,8132.83,7351.23
RFP_NAME_A,316,0,0
RFP_NAME_A,319,4927.44,3018.37
RFP_NAME_A,329,1958.34,2210.58
RFP_NAME_A,332,0,430.26
RFP_NAME_A,336,0,0
RFP_NAME_A,353,641.37,1080.81
RFP_NAME_A,371,8544.66,6967.6
RFP_NAME_A,378,1495.89,1974
RFP_NAME_A,384,13406.44,14255
RFP_NAME_A,385,7855.82,8037.19
RFP_NAME_A,391,1597.96,2144.26
RFP_NAME_A,392,9286.74,5520.84
RFP_NAME_A,395,0,0
RFP_NAME_A,398,0,0
RFP_NAME_A,399,586.81,775.47
RFP_NAME_A,408,0,0
RFP_NAME_A,409,6550.45,5496.25
RFP_NAME_A,418,1718.82,1156.39
RFP_NAME_A,420,899.29,2478.89
RFP_NAME_A,425,4500.45,4534.18
RFP_NAME_A,430,4712.45,7381.92
RFP_NAME_A,431,0,123.81
RFP_NAME_A,436,2169.47,2729.14
RFP_NAME_A,437,819.1,-306.36
RFP_NAME_A,460,1462.39,3071.81
RFP_NAME_A,481,4624.92,4634.57
RFP_NAME_A,494,1760.66,1435.88
RFP_NAME_A,504,0,0
RFP_NAME_A,506,17432.72,19070.65
RFP_NAME_A,522,0,8678.95
RFP_NAME_A,537,991.73,6793.35
RFP_NAME_A,615,19916.69,17124.46
RFP_NAME_A,618,14760.14,12308.27
RFP_NAME_A,619,0,0
RFP_NAME_A,629,539.38,410.68
RFP_NAME_A,641,8268.72,0
RFP_NAME_A,651,7755.69,8151.13
RFP_NAME_A,659,0,0
RFP_NAME_A,661,10790.13,13067.07
RFP_NAME_A,662,3377.82,2497.04
RFP_NAME_A,663,2689.22,3550.19
RFP_NAME_A,666,10955.75,10693.32
RFP_NAME_A,669,1625.25,862.71
RFP_NAME_A,678,4848.89,4901.69
RFP_NAME_A,686,6514.2,5531.43
RFP_NAME_A,689,1444.22,925.91
RFP_NAME_A,697,0,0
RFP_NAME_A,705,1163.21,1383.26
RFP_NAME_A,713,3547.44,6528.48
RFP_NAME_A,718,0,0
RFP_NAME_A,721,1955.93,1907.81
RFP_NAME_A,734,0,0
RFP_NAME_A,755,421.18,277.5
RFP_NAME_A,761,12291.22,9909.15
RFP_NAME_A,762,6623.53,5593.66
RFP_NAME_A,764,9207.86,8087.1
RFP_NAME_A,768,7242.77,6975.28
RFP_NAME_A,772,2515.46,3273.7
RFP_NAME_A,780,436.18,66.43
RFP_NAME_A,784,1116.95,1136.58
RFP_NAME_A,788,4718.58,3486.58
RFP_NAME_A,806,1705.81,2595.08
RFP_NAME_A,833,0,0
RFP_NAME_A,837,19670.33,19933.92
RFP_NAME_A,842,665.28,135.92
RFP_NAME_A,845,1808.18,3219.24
RFP_NAME_A,846,98.36,0
RFP_NAME_A,864,3863.14,1745.95
RFP_NAME_A,868,0,0
RFP_NAME_A,929,0,0
RFP_NAME_A,930,3626.8,5860.09
RFP_NAME_A,931,15021.88,13799.94
RFP_NAME_A,933,3266.3,3314.85
RFP_NAME_A,940,3504.1,4575.63
RFP_NAME_A,941,19888.76,18750.78
RFP_NAME_A,945,21335.54,23730.72
RFP_NAME_A,964,6449.93,6619.47
RFP_NAME_A,972,52996.86,58492.94
RFP_NAME_A,981,5027.83,7035.88
RFP_NAME_A,993,923.29,934.09
RFP_NAME_A,996,8412.69,9152.83
RFP_NAME_A,999,626.68,1653.9
RFP_NAME_A,1020,10273.86,8119.86
RFP_NAME_A,1027,6106.89,11836.03
RFP_NAME_A,1034,4288.94,7168.4
RFP_NAME_A,1035,359.92,751.7
RFP_NAME_A,1038,5790.04,5898.72
RFP_NAME_A,1062,435.91,542
RFP_NAME_A,1063,0,0
RFP_NAME_A,1066,241.78,471.55
RFP_NAME_A,1071,3305.27,1492.35
RFP_NAME_A,1072,0,0
RFP_NAME_A,1078,1153.17,1884.36
RFP_NAME_A,1080,0,0
RFP_NAME_A,1083,5092.52,6481.53
RFP_NAME_A,1105,3117.46,3687.22
RFP_NAME_A,1106,0,0
RFP_NAME_A,1108,0,64.48
RFP_NAME_A,1125,11542.01,10370.55
RFP_NAME_A,1127,803.39,600.2
RFP_NAME_A,1130,8662.87,12353.62
RFP_NAME_A,1133,6912.92,13519.9
RFP_NAME_A,1145,229.77,229.77
RFP_NAME_A,1153,392.61,1003.22
RFP_NAME_A,1160,798.03,1060.16
RFP_NAME_A,1161,7800.11,6438.17
RFP_NAME_A,1173,4426.67,4124.44
RFP_NAME_A,1183,0,355.98
RFP_NAME_A,1192,2587.52,2708.07
RFP_NAME_A,1193,8825.92,6531.2
RFP_NAME_A,1196,0,0
RFP_NAME_A,1205,1284.2,2658.74
RFP_NAME_A,1213,2751.43,2689.8
RFP_NAME_A,1221,1810.68,3879.61
RFP_NAME_A,1225,2733.06,2612.34
RFP_NAME_A,1226,10835.56,9011.87
RFP_NAME_A,1229,0,0
RFP_NAME_A,1235,14972.82,13016.1
RFP_NAME_A,1252,1279.91,1730.58
RFP_NAME_A,1255,2206.07,2819.21
RFP_NAME_A,1260,606.32,899.6
RFP_NAME_A,1266,3253.52,4936.13
RFP_NAME_A,1269,921.12,878.19
RFP_NAME_A,1275,0,0
RFP_NAME_A,1283,2379.02,4911.48
RFP_NAME_A,1290,9009.94,9838.51
RFP_NAME_A,1304,1382.25,1955.33
RFP_NAME_A,1309,693.58,1827.01
RFP_NAME_A,1313,0,0
RFP_NAME_A,1322,0,0
RFP_NAME_A,1330,0,0
RFP_NAME_A,1333,6216.84,6373.71
